#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
6383,HD 200932,V*,-0.001832876393,5.526397459,2.5455,6.91
6384,HD 151804,s*b,-0.7196085567,4.413772003,0.4893,5.22
6385,HD 77296,PM*,-0.07777206846,2.362834715,3.9897,6.64
6386,HD 58907,*,-0.4138631431,1.949000904,3.2933,6.610
6387,HD 40649,*,0.9344740175,1.584556267,6.7808,6.985
6388,HD 35765,*,-0.771883872,1.417758334,6.7367,6.084
6389,HD 189127,PM*,1.016657641,5.215775815,7.22,6.100
6390,HD 29503A,PM*,-0.2496516022,1.213791048,~,3.89
6391,HD 1606,V*,0.5399283146,0.08904097878,5.9025,5.869
6392,HD 213479,*,-1.054753641,5.904392842,5.2677,6.99
6393,HD 146738,SB*,0.5087680257,4.261860384,5.2987,5.779
6394,HD 144217,bC*,-0.3456703609,4.212514464,8.07,2.62
6395,HD 198571,**,-0.09820323814,5.460389702,16.47,6.07
6396,HD 2170,PM*,0.9909845477,0.1143227165,5.909,6.76
6397,HD 202850,s*b,0.6875668691,5.573778217,1.1711,4.24
6398,HD 13222,PM*,1.292027462,0.5818597603,7.815,6.261
6399,HD 32440,PM*,-1.307894819,1.28799496,4.9581,5.449
6400,HD 130025,*,0.3296046569,3.863037713,6.4057,6.145
6401,HD 26356,Be*,1.462721826,1.170335449,4.5813,5.507
6402,HD 43544,Be*,-0.2900389289,1.641168834,3.2307,5.91
6403,HD 84607,PM*,0.03116438599,2.558624357,13.0508,5.640
6404,HD 143687,PM*,0.5509696905,4.191882209,7.4464,6.600
6405,* 31 Tau B,*,0.114052521,1.01230608,~,6.55
6406,HD 36584B,*,-1.197695566,1.426797915,12.4171,6.91
6407,HD 193469A,s*r,0.6807514444,5.318711795,0.9707,6.36
6408,HD 4048,*,-0.1731661595,0.1869497231,25.5518,6.64
6409,HD 75630,*,-0.7037195079,2.311045652,2.6706,5.465
6410,HD 151566,**,-0.873449074,4.409580144,6.19,6.45
6411,HD 131873,V*,1.294257702,3.886435605,24.91,2.08
6412,HD 148427,RG*,-0.2338677709,4.313010465,14.2059,6.89
6413,HD 201196,PM*,0.2732951314,5.530777043,7.8908,6.260
6414,HD 139006,SB*,0.4662592119,4.078344933,42.2408,2.24
6415,HD 159463,HB*,-0.8737065977,4.614018713,10.0721,5.878
6416,HD 185394,*,1.107135158,5.125912032,5.5015,6.46
6417,HD 174383,cC*,-0.3542185949,4.934909224,1.1516,6.69
6418,HD 114241,*,0.325080044,3.443075791,2.401,6.91
6419,HD 71399,PM*,-0.473769503,2.20911926,17.9761,6.98
6420,HD 8651,*,-0.7241815364,0.3694852234,12.4333,5.417
6421,HD 149661,BY*,-0.04057169605,4.347429703,101.0719,5.77
6422,HD 96161,PM*,0.6701078741,2.905126212,3.175,6.92
6423,HD 149108,*,-0.1843501689,4.332470133,11.0448,6.84
6424,HD 52609,V*,0.2910239703,1.843743081,1.9018,5.848
6425,HD 138688,*,-0.4895128489,4.078057658,9.3849,5.138
6426,HD 10939,PM*,-0.9341357454,0.46296771,16.0575,5.033
6427,HD 222368,PM*,0.09819733323,6.195703631,73.2370,4.120
6428,HD 222748,*,0.9065123759,6.209376511,6.0364,6.44
6429,HD 192044,Be*,0.4621423572,5.288398649,3.1879,5.92
6430,HD 198501,SB*,-0.48860942,5.46115344,9.8454,6.834
6431,HD 6084,**,0.904047281,0.2744380373,2.8595,6.856
6432,HD 16226,*,-1.09234404,0.6700311446,3.8219,6.773
6433,HD 174115,*,-0.3340968557,4.928762943,8.7047,6.74
6434,HD 186251,PM*,-1.090022813,5.179687374,3.6099,6.70
6435,HD 46694,*,-0.5624563307,1.716775766,3.4159,6.94
6436,HD 116303,PM*,0.7662583316,3.499670423,7.475,6.332
6437,HD 179950,SB*,-0.4408123408,5.041996862,10.6661,4.86
6438,HD 182694,*,0.7572664005,5.078653632,7.4235,5.853
6439,HD 120987B,PM*,-0.6224557785,3.637025849,~,6.33
6440,[SC96] Mis 1401,*,-0.4657114403,4.839798016,~,6.45
6441,HD 152276,S*,0.2607849812,4.415240777,1.7125,6.40
6442,HD 196524,**,0.2547323533,5.399826271,32.33,3.63
6443,HD 96224,*,-0.8620582582,2.901908761,6.0721,6.102
6444,HD 28708,**,-0.4018514843,1.180551697,8.7202,6.82
6445,HD 198237,*,0.7955199274,5.442574244,3.1619,6.411
6446,HD 82477,PM*,-0.1809966287,2.495508797,8.7924,6.124
6447,HD 198962,SB*,-0.07927582829,5.47195947,9.1542,6.79
6448,HD 106449,*,0.6866518376,3.205368326,2.0716,6.94
6449,HD 55864,PM*,-1.230406347,1.870583553,22.7501,5.623
6450,HD 13141,PM*,-0.175254346,0.5599429088,6.9827,6.98
6451,HD 61721,PM*,0.07106661154,2.010693239,3.8478,6.50
6452,HD 26163,*,0.1762670239,1.085164631,5.4054,6.82
6453,HD 177067,*,-0.09702383103,4.988559864,2.9961,6.91
6454,HD 42398,PM*,0.4262138205,1.621142205,6.1988,5.825
6455,HD 21912,SB*,0.6963772407,0.9319355795,17.7106,5.776
6456,HD 57517,PM*,-0.1549468482,1.925448218,30.2430,6.553
6457,HD 104878A,*,-1.192564476,3.161873793,~,5.52
6458,HD 185720,PM*,-0.1311151645,5.152002712,20.5926,6.96
6459,HD 180504,*,0.1151336003,5.046524154,4.9157,6.69
6460,HD 167576,PM*,-0.4837333811,4.786383116,8.0364,6.66
6461,HD 7615,*,0.4117137363,0.3336318839,5.3910,6.680
6462,HD 20071,PM*,-0.5654277527,0.8400117306,2.8127,6.97
6463,HD 56531,*,-0.7345744283,1.89979027,3.5251,6.991
6464,HD 52309,**,0.20550542,1.837675448,3.90,6.78
6465,HD 197157,dS*,-0.9061918835,5.428143706,41.3357,4.495
6466,HD 137476,V*,-0.7096443176,4.048574534,1.723,6.99
6467,HD 65448,SB*,1.101134141,2.105361861,7.7447,6.07
6468,HD 212071,*,0.8897830679,5.849726964,1.734,6.370
6469,HD 37077,*,-0.08475434998,1.464584617,8.7664,5.234
6470,HD 87682,**,0.09793902445,2.647622641,8.0602,6.187
6471,HD 112268,*,-0.9697234703,3.387291895,3.0165,6.81
6472,HD 29646,*,0.4994257632,1.227530892,10.3121,5.729
6473,HD 86129,*,1.028903988,2.611751822,4.484,6.72
6474,HD 42770,*,0.1795492761,1.627475749,2.2211,6.571
6475,HD 19460,*,0.3280355454,0.8218398462,4.4906,6.250
6476,HD 193680,C*,0.8359113696,5.321552132,1.2992,5.90
6477,HD 76151,PM*,-0.09484921182,2.331319701,59.3595,6.00
6478,HD 47964,**,0.008645005699,1.750088253,2.9287,5.765
6479,HD 173831,**,1.355890752,4.875573286,9.07,6.95
6480,HD 37377,PM*,-0.6119335228,1.468719537,4.4108,6.86
6481,HD 18252,SB*,-0.5851191559,0.7628219635,14.2753,6.88
6482,HD 142629,*,-0.5928205366,4.175226789,15.0230,5.08
6483,HD 25728,PM*,-1.066026563,1.052880853,9.9842,4.956
6484,HD 45827,*,0.1575982391,1.702103104,1.0711,6.57
6485,HD 87398,*,-0.6855466825,2.634351399,2.4154,6.98
6486,HD 134943A,S*,0.3311942058,3.979660884,2.8463,5.89
6487,HD 221776,*,0.6636440182,6.173138083,3.9098,6.173
6488,HD 35762,*,0.06729201278,1.427410502,2.9046,6.738
6489,HD 210525,**,-0.60152959,5.810347468,4.16,6.73
6490,HD 205072,*,1.405423318,5.606110416,8.5487,5.965
6491,HD 141413,*,-1.137125614,4.158009298,8.4166,6.533
6492,HD 194357,*,0.6462279855,5.339837604,1.2898,6.830
6493,HD 189671,*,0.4570648304,5.237104715,2.2423,6.494
6494,HD 125734,PM*,-0.4940755382,3.761299075,6.2567,6.81
6495,HD 152972,*,0.2684956324,4.433835546,4.6492,6.58
6496,HD 167846,*,-0.6053869532,4.793144545,1.9725,6.92
6497,HD 82408,*,0.7943649618,2.501002079,6.3885,6.47
6498,HD 25102,SB*,0.1802991049,1.045779181,24.9459,6.340
6499,HD 78209,PM*,0.9006710126,2.394901309,34.9307,4.48
6500,HD 2011,*,1.079155539,0.1081744506,3.8102,5.377
6501,HD 10830A,PM*,-0.4372506124,0.4609681483,35.6418,5.340
6502,HD 194765,SB*,-0.03670537022,5.355798998,21.051,6.697
6503,HD 195479,PM*,0.3596451428,5.371116593,11.3074,6.20
6504,HD 26464,HB*,-0.153934819,1.094304236,10.1946,5.689
6505,HD 177483,*,0.9121275109,4.983426466,4.6976,6.389
6506,HD 112814,*,0.6954137838,3.398790133,3.7226,6.84
6507,HD 51802,LP*,1.518787348,2.009345961,6.1518,5.07
6508,HD 176411,SB*,0.2629911168,4.972541678,18.1821,4.02
6509,HD 20291,*,-0.3493981264,0.8519507203,4.5535,7.00
6510,HD 216169,*,-1.045127268,5.98538519,7.8093,6.454
6511,* gam Leo,**,0.3462992456,2.70514039,25.07,2.37
6512,HD 85905,*,-0.3924801704,2.594127633,5.4555,6.213
6513,HD 185183,a2*,-0.4992900807,5.144082947,3.6755,6.73
6514,HD 136422,PM*,-0.6328803552,4.022138139,11.6616,3.546
6515,HD 196852,PM*,0.5294328345,5.406122203,8.8351,5.673
6516,HD 26934,*,-0.6463023633,1.108084316,3.4226,6.95
6517,HD 138485,V*,-0.2941376298,4.07063296,4.3321,5.499
6518,M 33,GiG,0.5351210049,0.4094903545,~,5.72
6519,HD 220254,PM*,0.5008188491,6.117743199,13.0384,6.73
6520,HD 112381,a2*,-0.9527290778,3.390172809,8.0811,6.485
6521,HD 209932,*,0.7873616739,5.785071937,5.1499,6.494
6522,HD 105515,Pu*,-1.374993307,3.181422143,10.1339,6.85
6523,HD 159018,*,-0.9311842871,4.604753562,3.9720,6.080
6524,HD 206395,PM*,-0.7591501281,5.685567932,25.1402,6.66
6525,HD 113457,*,-1.124717814,3.425357089,9.6265,6.628
6526,HD 216931,*,-0.05663973203,6.00879463,9.3141,6.619
6527,HD 4293,PM*,-0.7448464668,0.1961351975,14.9006,5.926
6528,HD 37495,PM*,-0.5007295563,1.47368458,24.0801,5.31
6529,HD 211432,*,0.4852718624,5.831555674,8.3329,6.370
6530,HD 189188,*,0.02908536959,5.230448972,4.5545,6.76
6531,HD 19967,*,1.158554201,0.8570250243,6.7279,6.69
6532,HD 135367,*,-0.09603764818,3.991756825,4.2628,6.29
6533,HD 2632,*,-0.5605295899,0.1300999019,4.5451,6.568
6534,HD 224890,SB*,1.284769089,0.007232820289,14.3366,6.492
6535,HD 141687,*,-0.790361207,4.154840792,4.1352,6.55
6536,HD 38807,*,0.4808537738,1.525571435,5.4253,7.00
6537,HD 176537,C*,-0.3961088466,4.981296232,1.7301,6.215
6538,HD 55070,*,-0.4798175257,1.877633992,4.9959,5.448
6539,HD 187580,SB*,-0.9266412702,5.206208779,6.6183,6.99
6540,HD 34310,*,-0.4702529288,1.376219184,11.9207,5.04
6541,HD 42132,*,-0.1190553983,1.609171889,8.4573,6.46
6542,HD 6147,*,1.028159821,0.2775835917,3.4119,6.75
6543,HD 37192,PM*,-0.577350151,1.462838641,10.7201,5.755
6544,HD 216742,PM*,-0.7172736917,6.003523761,7.8996,6.73
6545,HD 204599,LP*,1.042835573,5.617435054,3.5358,6.129
6546,HD 200510,*,0.5646119943,5.510518511,1.4055,6.88
6547,HD 116711,*,-0.6121888645,3.516696256,2.3978,6.82
6548,HD 73819,dS*,0.3417414229,2.273021893,5.4520,6.780
6549,HD 152830,dS*,0.237712273,4.429935835,13.3644,6.340
6550,HD 158105,**,-0.6419020872,4.576841571,4.9851,5.985
6551,HD 72900,*,-0.8197926911,2.240586322,1.5935,6.221
6552,HD 25170,PM*,-1.107650782,1.030034871,8.944,6.137
6553,HD 110311,cC*,-1.211390359,3.325217732,1.0656,6.33
6554,HD 63752,*,-0.1602812984,2.051531012,1.6992,5.598
6555,HD 22928,Be*,0.8340491594,0.9726932855,6.2435,3.01
6556,HD 10698,*,0.05626437733,0.4564002114,2.5686,6.71
6557,HD 8491,PM*,1.18909306,0.3749565877,16.2403,4.727
6558,HD 52993,EB*,-0.620427988,1.840392333,4.3297,6.569
6559,HD 159340,PM*,-0.6650095791,4.607715928,10.1119,6.94
6560,HD 203399,*,1.344118146,5.566323923,3.9998,5.898
6561,HD 123303,LP?,0.2961863709,3.693523769,2.3275,6.61
6562,HD 35770,*,0.2770544468,1.430123378,6.4814,5.515
6563,HD 65396A,EB*,0.0981445452,2.088953984,1.7689,6.98
6564,HD 59227,PM*,0.1148797659,1.96050104,8.4681,6.59
6565,HD 64107,*,0.4895996148,2.06538366,4.8654,6.92
6566,HD 14401,*,-1.332690502,0.5860656021,5.3322,6.57
6567,HD 67594,*,-0.05207691886,2.13189409,3.2450,4.33
6568,HD 1831,V*,0.6763900965,0.1001649483,2.7758,6.733
6569,HD 75311,Be*,-0.9908195112,2.298202163,5.2893,4.49
6570,HD 121901,PM*,-1.073046353,3.666456149,16.8565,6.469
6571,HD 190544,*,1.131339461,5.242426882,5.0501,5.27
6572,HD 98366,PM*,0.02880483442,2.96232986,11.594,5.904
6573,HD 200578,*,0.5077599216,5.513024606,5.2149,6.89
6574,HD 214995,PM*,0.2533588706,5.942661088,11.1472,5.921
6575,HD 25877,*,1.045593074,1.088472486,2.6409,6.295
6576,HD 55052,*,0.4211234072,1.886873725,9.2055,5.85
6577,HD 157892,PM*,1.161738664,4.541979809,6.011,6.93
6578,HD 141168,Pu*,-0.9286856932,4.145672109,10.3590,5.78
6579,HD 187653,*,-1.067631717,5.212748742,9.4179,6.205
6580,* rho Oph,**,-0.4092303313,4.300427111,9.03,4.63
6581,HD 85461,PM*,-0.1979292081,2.581721315,4.018,6.52
6582,HD 53344,*,-0.4377969602,1.84880632,1.7057,6.848
6583,HD 17374,PM*,-1.207067824,0.7130106423,6.1611,6.66
6584,HD 18046,*,-0.3855568873,0.7561802698,5.0745,6.59
6585,HD 62747,SB*,-0.4306439288,2.02706682,1.6857,5.60
6586,HD 62058,s*y,-0.5525915793,2.010953594,0.244,6.56
6587,HD 50896,WR*,-0.4176283142,1.807364359,0.6505,6.91
6588,HD 41380,SB*,0.07258235243,1.592493599,2.134,5.621
6589,HD 154713,*,0.7646678044,4.472765677,6.3445,6.441
6590,HD 38307,C*,0.3611966091,1.508212466,1.5006,6.90
6591,HD 139193,PM*,0.7534156435,4.080434968,6.1154,6.75
6592,HD 73658,Em*,-0.8077856245,2.258743682,0.5552,6.86
6593,HD 100673,Be*,-0.9470870903,3.031466477,8.1091,4.607
6594,HD 214167,*,0.6916416927,5.916091591,2.1711,5.67
6595,HD 205212,PM*,0.7381963879,5.640319307,5.0753,6.92
6596,HD 153113,*,0.1084076966,4.438972182,4.7916,6.72
6597,HD 98747,PM*,0.1600180546,2.975073771,13.7315,6.69
6598,HD 189577,LP*,0.3057207366,5.236228315,3.4239,5.35
6599,HD 192763,*,1.358292681,5.270811362,10.9483,6.99
6600,HD 86612,Be*,-0.418019771,2.614089025,3.2196,6.25
6601,HD 56405,*,-0.2720216172,1.903467184,12.9537,5.447
6602,HD 34450,V*,1.286433251,1.418037591,2.4964,6.47
6603,HD 201066,*,-0.01335408086,5.529920762,5.691,6.579
6604,HD 131596,*,-1.479826031,3.975626754,9.9406,5.866
6605,HD 188119A,PM*,1.226406742,5.184380585,21.3219,3.91
6606,HD 80726,*,-0.9837641839,2.439778568,10.1319,6.808
6607,HD 216508,*,1.402681401,5.976293411,5.5875,6.99
6608,[SC96] Mis 395,*,-0.8028514559,4.542219378,~,6.79
6609,HD 94724,SB*,-0.7508498207,2.8599554,9.8052,6.40
6610,HD 32503,PM*,-0.3978487211,1.320994541,7.6481,5.738
6611,HD 76292,PM*,0.7016480699,2.34096035,13.9204,5.880
6612,HD 136028,*,-0.008050055002,4.007430632,4.4729,5.89
6613,HD 99329,gD*,0.06737082303,2.992516564,16.1950,6.354
6614,HD 209833,*,0.5055168111,5.783924745,10.2922,5.700
6615,HD 44978,*,-0.5211686826,1.673301429,4.1539,6.99
6616,HD 72958,*,-0.7274340402,2.243063133,2.0234,6.715
6617,HD 92328,**,-0.7461883547,2.787459092,4.4804,6.114
6618,HD 146436,*,-0.3508825232,4.262908391,4.5921,6.42
6619,HD 161322,*,0.2405756913,4.643911912,5.7164,6.90
6620,HD 69562,*,-0.3819142449,2.167448205,1.7494,6.958
6621,HD 142198,PM*,-0.291981315,4.161849442,19.4787,4.16
6622,HD 73887,*,-1.096999906,2.257207647,10.5574,5.456
6623,HD 126769,**,-0.5147261848,3.788122766,7.5222,4.97
6624,HD 171917,*,-0.05096412093,4.875995087,3.6713,6.74
6625,HD 206672,SB*,0.8934275459,5.68145837,2.2726,4.66
6626,HD 46270,*,-0.3735972785,1.708204252,11.4154,6.58
6627,HD 60629,*,-0.4558250825,1.983046107,9.1364,6.65
6628,HD 221907,*,-0.4690801802,6.179166679,16.7751,6.57
6629,HD 5624,*,-0.03082191462,0.2523615075,7.0922,6.548
6630,HD 22253,*,0.990289096,0.9500516541,1.4232,6.526
6631,HD 155646,PM*,0.006144074026,4.506901497,13.3411,6.643
6632,HD 114050,PM*,-0.6322295728,3.439889314,10.8191,6.84
6633,HD 19279,dS*,0.8256926826,0.8193843171,11.6125,6.375
6634,HD 80024A,PM*,0.6172195793,2.436618649,5.7325,6.603
6635,HD 65211A,*,-0.7652405117,2.075966255,4.7130,6.62
6636,HD 132304,PM*,0.4306444041,3.916924896,3.4196,6.947
6637,HD 145100,PM*,-0.3201043402,4.232079659,20.1196,6.430
6638,HD 203525,*,-0.1626529581,5.597871483,4.598,5.965
6639,HD 175317,PM*,-0.2858262118,4.954626528,31.6856,5.546
6640,HD 45058,*,-1.047580956,1.664246107,5.3698,6.96
6641,HD 125072,PM*,-1.036359719,3.748446128,84.6029,6.66
6642,HD 153653,**,0.1149078155,4.452729099,15.0258,6.566
6643,HD 52552,PM*,0.8211767007,1.849975693,13.6063,7.000
6644,HD 33924,PM*,1.050368148,1.385179308,19.4328,6.952
6645,HD 221246,*,0.8575351533,6.152824743,3.2286,6.152
6646,HD 161149,*,0.2494977749,4.639814022,9.0762,6.211
6647,HD 216511,*,0.8124230296,5.990068786,3.8845,6.81
6648,HD 87283,*,-1.054543483,2.626727516,0.9797,5.928
6649,HD 144987,PM*,-0.5854847744,4.231884556,8.115,5.497
6650,HD 51825,**,-0.6197167626,1.820784509,23.20,6.224
6651,HD 2593,*,-0.0605502446,0.1286713976,3.8349,6.95
6652,HD 200497,**,-0.1016315629,5.515584004,5.4597,5.80
6653,HD 169586,SB*,-0.5304631038,4.828801453,20.7115,6.75
6654,HD 12558,**,0.4526594461,0.5395500283,20.53,5.694
6655,HD 99055,*,0.02457009116,2.984682285,8.7638,5.386
6656,HD 38495,PM*,-0.07449911591,1.509918382,8.9644,6.31
6657,HD 178469,*,-0.4732358013,5.016642137,5.883,6.84
6658,HD 218537,**,1.110613477,6.055401412,2.44,6.26
6659,HD 98346,*,-0.4248706453,2.960989457,5.2461,6.68
6660,HD 142184,Be*,-0.4184967128,4.162309472,6.9899,5.402
6661,HD 173495B,**,0.09599515089,4.910801064,~,6.34
6662,BD+29 1791,*,0.4998593307,2.261676185,~,6.653
6663,HD 12274,PM*,-0.3678775618,0.5236212083,10.2726,4.02
6664,HD 171046,*,0.3822678587,4.850920323,6.3329,6.92
6665,HD 72922,PM*,-1.412219675,2.200561059,11.8882,5.69
6666,HD 54716,*,0.6862730671,1.883452175,7.6144,4.886
6667,HD 206267A,Y*O,1.00337308,5.667783637,1.3604,5.62
6668,HD 192886,PM*,-0.8304327257,5.320189107,31.657,6.13
6669,HD 5771,*,-1.059349206,0.2546893203,5.6004,6.235
6670,HD 6530,*,-0.1717291447,0.2883537464,6.0959,5.565
6671,HD 123934,LP*,-0.2845241106,3.712496183,5.8655,4.91
6672,HD 166207,SB*,0.8870256764,4.742457674,7.2155,6.295
6673,HD 112353,*,0.5585165566,3.384833475,8.6733,6.86
6674,* pi. Cep B,*,1.315765014,6.055837665,~,6.75
6675,HD 214028,PM*,-0.3047419698,5.915851783,6.6192,6.37
6676,HD 186584,*,-1.166108016,5.191875904,3.3423,6.422
6677,HD 62897,PM*,-1.016306378,2.019733532,5.0191,6.205
6678,HD 26965,PM*,-0.1335677728,1.113834194,199.6080,4.43
6679,HD 200043,LP*,0.567155895,5.497699535,2.8151,6.87
6680,HD 75716,LP?,0.4932153485,2.323367022,2.5592,6.23
6681,HD 80210,SB*,-0.8653117276,2.428922006,3.4767,6.959
6682,HD 210431,SB*,1.263144442,5.79092202,9.1749,6.84
6683,HD 3431,*,0.7039327579,0.1633628284,5.1161,6.842
6684,HD 761,**,0.9359134431,0.05294806011,8.34,6.81
6685,HD 45418,*,-0.07602037029,1.688669914,3.0209,6.472
6686,HD 189337,*,0.1973193931,5.232501091,1.6906,6.500
6687,HD 197448,*,0.09407681449,5.426528157,9.6384,6.69
6688,HD 6163,*,1.298038539,0.2828828781,3.0457,6.80
6689,HD 102350,Ce*,-1.067764504,3.08274763,7.9894,4.10
6690,HD 27932,V*,1.210879992,1.177510968,3.1239,6.620
6691,HD 210939,*,1.060446308,5.81209299,7.9198,5.359
6692,HD 13305,PM*,-0.4249141192,0.5653995198,14.9257,6.47
6693,HD 132029,PM*,0.5637424344,3.909435157,9.4783,6.122
6694,HD 35386,*,-0.4660977106,1.410225524,19.6915,6.490
6695,HD 150136,SB*,-0.851074566,4.369171117,0.6934,5.65
6696,HD 125538,*,0.6766192583,3.74778118,6.1836,6.866
6697,HD 44743,bC*,-0.3133899017,1.669842697,6.62,1.97
6698,HD 205688A,PM*,0.5245660581,5.655883561,8.0063,6.26
6699,HD 191095A,*,-1.003987361,5.284524853,~,6.76
6700,HD 82363,PM*,-0.5020698513,2.490021382,4.1739,6.56
6701,HD 57949,SB*,-0.8971800487,1.923494188,7.2095,6.78
6702,HD 197245,*,0.422063932,5.417924408,1.9242,6.91
6703,HD 216131,PM*,0.4293785946,5.977766729,28.9340,3.48
6704,HD 219080,PM*,0.8623009866,6.07614588,40.2940,4.52
6705,HD 120164,PM*,0.6726969458,3.608451848,10.9069,5.501
6706,HD 161420,*,-0.9669427725,4.662797051,18.8686,6.085
6707,HD 155104,PM*,0.4273698266,4.487935871,8.8585,6.850
6708,HD 33554,*,0.280049859,1.360016118,8.2613,5.163
6709,HD 41863,SB*,-0.5797841967,1.597383814,7.8700,6.69
6710,HD 163433A,*,-0.6830611723,4.703501627,5.6741,6.46
6711,HD 125771,*,0.3347576205,3.757503395,1.6452,6.89
6712,HD 186121,**,0.7518498864,5.15171381,2.602,6.16
6713,HD 104337,SB*,-0.3431139491,3.145313053,1.6891,5.264
6714,HD 36453,*,0.5635553847,1.454116439,5.7992,6.616
6715,HD 22001,PM*,-1.098467103,0.9135836827,45.9103,4.70
6716,HD 174369,SB*,0.4371450536,4.927230816,10.5299,6.740
6717,HD 72993A,V*,-0.6564387497,2.244875456,2.6901,6.38
6718,HD 186005,**,-0.2814168542,5.159711995,18.5348,5.045
6719,HD 180610,PM*,1.007143633,5.034919632,19.3662,5.003
6720,HD 45433,*,-0.004817133562,1.689739878,5.0387,5.538
6721,HD 151196,*,-0.8018900584,4.398632671,12.5586,6.69
6722,HD 175855,*,-0.6900108958,4.970622391,5.8918,6.497
6723,HD 18832,*,0.09313336106,0.7935645352,9.2398,6.243
6724,HD 151935,*,0.6101025077,4.402900588,4.0592,6.906
6725,HD 176794,SB*,-1.333513148,5.021061496,9.7509,6.95
6726,HD 94454,*,-1.324404093,2.842724791,3.1922,6.69
6727,HD 124314A,*,-1.076986413,3.730758058,0.6074,6.86
6728,HD 136403,SB*,0.5674920755,4.012079093,11.4773,6.311
6729,HD 205289,PM*,-0.3505364789,5.649852753,36.3561,5.696
6730,HD 16978,PM*,-1.19148299,0.6963399492,21.3234,4.096
6731,HD 60929,*,-0.7731133944,1.984661412,4.7544,6.798
6732,HD 115202,PM*,-0.3480727644,3.473115827,26.6876,5.22
6733,HD 167472,*,0.4924688956,4.774037111,4.8033,6.822
6734,* alf Gem,**,0.5565555175,1.983557473,64.12,1.58
6735,HD 40486,*,0.8545035263,1.578291052,3.8887,5.959
6736,HD 223277,*,0.1439128106,6.23170738,17.6165,6.65
6737,HD 15333,*,0.6515268063,0.6506794832,5.0745,6.78
6738,HD 155513,PM*,1.067436701,4.486044008,9.4135,6.72
6739,HD 189849,a2*,0.4843912284,5.240790944,13.4427,4.651
6740,HD 215114A,*,-0.1450620025,5.947457735,6.1199,6.77
6741,HD 60951,*,-0.3867737648,1.990214355,4.8071,6.34
6742,HD 150596A,PM*,-1.07623132,4.389279293,8.0567,6.85
6743,HD 73575,dS*,0.3451991512,2.267666614,5.4876,6.66
6744,HD 38618,*,0.9934228795,1.529626431,6.7048,6.590
6745,HD 176651,*,0.0354863201,4.979517597,4.6873,6.91
6746,HD 101150,**,1.123066461,3.049172918,4.74,6.500
6747,HD 133640B,SB*,0.8317275838,3.943536143,78.0881,6.004
6748,HD 188053,*,1.103115501,5.189871606,3.9356,6.68
6749,HD 43393,*,-0.2077716877,1.637966542,7.6625,6.60
6750,HD 27386,*,0.1766524054,1.132821709,5.1776,6.30
6751,HD 5397,*,0.6148554421,0.2454237854,6.3775,6.93
6752,HD 99845,**,-0.9578992186,3.004748471,7.4861,6.78
6753,HD 32831,PM*,-0.6192947487,1.328224805,17.5912,4.574
6754,HD 109309,PM*,-0.1649698713,3.288981967,11.6865,5.48
6755,HD 31039,*,0.406935198,1.280933251,6.9311,6.55
6756,HD 203376,*,1.017990441,5.582514119,4.2971,6.99
6757,HD 32887,PM*,-0.3904482089,1.332825367,15.5999,3.18
6758,HD 414,*,0.7067632558,0.0385429327,3.0607,6.80
6759,HD 108135,V*,0.9909600437,3.250909038,3.8461,5.81
6760,HD 44379,PM*,-0.4125603181,1.660619522,6.0219,6.48
6761,HD 119623,PM*,-0.4450752605,3.598699027,5.2085,6.205
6762,HD 220035,PM*,-0.1031135199,6.111625762,8.2434,6.172
6763,HD 93607,*,-1.123703596,2.822431492,6.6468,4.83
6764,HD 80580,Em*,0.5631171822,2.450690297,10.0199,6.775
6765,HD 200030,*,0.7387012457,5.495214192,3.8780,6.465
6766,HD 65471,*,0.4046180937,2.093130175,2.8478,6.92
6767,HD 10538,*,-0.6428449716,0.4452766758,10.5668,5.698
6768,HD 222962,*,0.1776717104,6.219319801,12.5489,6.54
6769,HD 157338,PM*,-0.607347631,4.555944894,30.264,6.92
6770,HD 139599,PM*,-0.8331519733,4.105758279,3.5973,6.209
6771,HD 120477,PM*,0.275725451,3.619277728,13.4228,4.07
6772,HD 73171,*,0.9199913867,2.265846291,6.6131,5.891
6773,HD 67562,PM*,0.9293020524,2.143097104,11.2821,6.790
6774,HD 176301,*,0.345477345,4.968738247,2.6577,6.494
6775,HD 35742,*,0.6055850872,1.433089934,6.5029,6.57
6776,HD 63578,Y*O,-0.8134716086,2.03996305,2.1793,5.208
6777,HD 125450,SB*,0.3327544593,3.748386569,6.5299,6.86
6778,HD 49606,Pe*,0.2827936756,1.788223354,4.8578,5.87
6779,HD 32453,*,-0.6932106811,1.3158708,8.0408,6.007
6780,HD 32890,PM*,-0.4564453189,1.331991328,13.0686,5.695
6781,HD 187235,Pu*,0.6703393334,5.181284764,7.3528,5.824
6782,HD 12561,*,-0.3833750937,0.5348893582,3.3858,6.95
6783,HD 13161,SB*,0.6106435301,0.565241395,25.71,3.00
6784,HD 161617,*,1.172023384,4.631183739,3.4181,6.64
6785,HD 45080,PM*,-1.217970214,1.654803091,15.902,6.91
6786,HD 59984,PM*,-0.1550083886,1.972641146,34.8832,5.916
6787,HD 36758,*,0.4239539294,1.461972816,5.3066,6.82
6788,HD 27855,*,1.00505321,1.16507067,4.1875,6.290
6789,HD 134627,LP?,0.2037429032,3.972915979,2.3688,6.880
